date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:08:22	212120/212120	---M-Z	200	added ('OK')	text/css	etag:%2233c98-61f2947bb763c-gzip%22	https://www.afci-formation.fr/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.23.4	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-content/plugins/elementor/assets/css/frontend-lite.mind5d5.css	(from https://www.afci-formation.fr/)
10:08:22	0/0	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Sep%202024%2008:08:23%20GMT	https://www.afci-formation.fr/events/?ical=1	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/events/indexedf3.html	(from https://www.afci-formation.fr/)
10:08:22	15413/15413	---M-Z	200	added ('OK')	application/zip	etag:%223c35-61f05918eba61-gzip%22	https://www.afci-formation.fr/wp-content/uploads/2024/08/beckan.zip	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-content/uploads/2024/08/beckan.zip	(from https://www.afci-formation.fr/)
10:08:23	43904/43904	---M-Z	200	added ('OK')	font/woff	etag:%22ab80-5cedfbf4a9e67-gzip%22	https://www.afci-formation.fr/wp-content/uploads/2021/10/Orkney-Bold.woff	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-content/uploads/2021/10/Orkney-Bold.woff	(from https://www.afci-formation.fr/)
10:08:23	44040/44040	---M-Z	200	added ('OK')	font/woff	etag:%22ac08-5cedfbf278607-gzip%22	https://www.afci-formation.fr/wp-content/uploads/2021/10/Orkney-Regular.woff	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-content/uploads/2021/10/Orkney-Regular.woff	(from https://www.afci-formation.fr/)
10:08:23	46380/46380	---M-Z	200	added ('OK')	font/woff	etag:%22b52c-5cedfbf1ac467-gzip%22	https://www.afci-formation.fr/wp-content/uploads/2021/10/Orkney-Regular-Italic.woff	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-content/uploads/2021/10/Orkney-Regular-Italic.woff	(from https://www.afci-formation.fr/)
10:08:24	16471/16471	---M-Z	200	added ('OK')	text/css	etag:%224057-61f2947c46f1c-gzip%22	https://www.afci-formation.fr/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://www.afci-formation.fr/)
10:08:24	11120/11120	---M-Z	200	added ('OK')	text/css	etag:%222b70-61f293a3ffc1f-gzip%22	https://www.afci-formation.fr/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.23.3	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min28fc.css	(from https://www.afci-formation.fr/)
10:08:24	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%22e7d0-61f2947c2d8dc-gzip%22	https://www.afci-formation.fr/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.23.4	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.mind5d5.css	(from https://www.afci-formation.fr/)
10:08:25	26702/26702	---M-Z	200	added ('OK')	text/css	etag:%22684e-61f2947c2e87c-gzip%22	https://www.afci-formation.fr/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.23.4	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.mind5d5.css	(from https://www.afci-formation.fr/)
